lk_id,lk,bundesland,population,population_male,population_female,lk_movement
12062,Elbe-Elster,Brandenburg,101085,50098,50987,Landkreis Elbe-Elster
12063,Havelland,Brandenburg,164693,81382,83311,Landkreis Havelland
12064,Märkisch-Oderland,Brandenburg,197195,97811,99384,Landkreis Märkisch-Oderland
12065,Oberhavel,Brandenburg,214234,105559,108675,Landkreis Oberhavel
12066,Oberspreewald-Lausitz,Brandenburg,108396,53199,55197,Landkreis Oberspreewald-Lausitz
12067,Oder-Spree,Brandenburg,179276,87851,91425,Landkreis Oder-Spree
12068,Ostprignitz-Ruppin,Brandenburg,98808,49079,49729,Landkreis Ostprignitz-Ruppin
12069,Potsdam-Mittelmark,Brandenburg,217954,107877,110077,Landkreis Potsdam-Mittelmark
12070,Prignitz,Brandenburg,76096,37759,38337,Landkreis Prignitz
12071,Spree-Neiße,Brandenburg,113011,55469,57542,Landkreis Spree-Neiße
12072,Teltow-Fläming,Brandenburg,171554,85609,85945,Landkreis Teltow-Fläming
12073,Uckermark,Brandenburg,118250,57998,60252,Landkreis Uckermark
13003,Rostock (Kreisfreie Stadt),Mecklenburg-Vorpommern,209061,102963,106098,Rostock
13004,Schwerin,Mecklenburg-Vorpommern,95609,45919,49690,Schwerin
13071,Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,258057,126653,131404,Landkreis Mecklenburgische Seenplatte
13072,Rostock,Mecklenburg-Vorpommern,217072,107764,109308,Landkreis Rostock
13073,Vorpommern-Rügen,Mecklenburg-Vorpommern,225383,110540,114843,Landkreis Vorpommern-Rügen
13074,Nordwestmecklenburg,Mecklenburg-Vorpommern,157975,78524,79451,Landkreis Nordwestmecklenburg
13075,Vorpommern-Greifswald,Mecklenburg-Vorpommern,235773,115377,120396,Landkreis Vorpommern-Greifswald
13076,Ludwigslust-Parchim,Mecklenburg-Vorpommern,211844,105797,106047,Landkreis Ludwigslust-Parchim
14511,Stadt Chemnitz,Sachsen,244401,120959,123442,Chemnitz
14521,Erzgebirgskreis,Sachsen,331917,162445,169472,Erzgebirgskreis
14522,Mittelsachsen,Sachsen,301474,149895,151579,Landkreis Mittelsachsen
14523,Vogtlandkreis,Sachsen,223905,109204,114701,Vogtlandkreis
14524,Zwickau,Sachsen,312033,152268,159765,Landkreis Zwickau
14612,Stadt Dresden,Sachsen,556227,277060,279167,Dresden
14625,Bautzen,Sachsen,298010,147223,150787,Landkreis Bautzen
14626,Görlitz,Sachsen,250558,122809,127749,Landkreis Görlitz
14627,Meißen,Sachsen,240371,118149,122222,Landkreis Meißen
14628,Sächsische Schweiz-Osterzgebirge,Sachsen,244722,120924,123798,Landkreis Sächsische Schweiz-Osterzgebirge
14713,Leipzig (Kreisfreie Stadt),Sachsen,597493,293522,303971,Leipzig
14729,Leipzig,Sachsen,258386,126643,131743,Landkreis Leipzig
14730,Nordsachsen,Sachsen,197444,97925,99519,Landkreis Nordsachsen
15001,Stadt Dessau-Roßlau,Sachsen-Anhalt,79354,38522,40832,Dessau-Roßlau
15002,Stadt Halle (Saale),Sachsen-Anhalt,237865,115241,122624,Halle (Saale)
15003,Landeshauptstadt Magdeburg,Sachsen-Anhalt,235775,116273,119502,Magdeburg
15081,Altmarkkreis Salzwedel,Sachsen-Anhalt,82687,41220,41467,Altmarkkreis Salzwedel
15082,Anhalt-Bitterfeld,Sachsen-Anhalt,157217,77058,80159,Landkreis Anhalt-Bitterfeld
15083,Börde,Sachsen-Anhalt,170567,85007,85560,Landkreis Börde
15084,Burgenlandkreis,Sachsen-Anhalt,177590,87919,89671,Burgenlandkreis
15085,Harz,Sachsen-Anhalt,210975,103480,107495,Landkreis Harz
15086,Jerichower Land,Sachsen-Anhalt,89403,44489,44914,Landkreis Jerichower Land
15087,Mansfeld-Südharz,Sachsen-Anhalt,133690,65650,68040,Landkreis Mansfeld-Südharz
15088,Saalekreis,Sachsen-Anhalt,183434,90697,92737,Saalekreis
15089,Salzlandkreis,Sachsen-Anhalt,187457,91513,95944,Salzlandkreis
15090,Stendal,Sachsen-Anhalt,110485,54415,56070,Landkreis Stendal
15091,Wittenberg,Sachsen-Anhalt,124185,61111,63074,Landkreis Wittenberg
16051,Stadt Erfurt,Thüringen,213692,103940,109752,Erfurt
16052,Stadt Gera,Thüringen,92126,44474,47652,Gera
16053,Stadt Jena,Thüringen,110731,55374,55357,Jena
16054,Stadt Suhl,Thüringen,36395,17887,18508,Suhl
16055,Stadt Weimar,Thüringen,65098,31439,33659,Weimar
16061,Eichsfeld,Thüringen,99463,49830,49633,Landkreis Eichsfeld
16062,Nordhausen,Thüringen,82456,40960,41496,Landkreis Nordhausen
16063,Wartburgkreis,Thüringen,159937,79760,80177,Wartburgkreis
16064,Unstrut-Hainich-Kreis,Thüringen,101698,50427,51271,Unstrut-Hainich-Kreis
16065,Kyffhäuserkreis,Thüringen,73522,36493,37029,Kyffhäuserkreis
16066,Schmalkalden-Meiningen,Thüringen,124241,62110,62131,Landkreis Schmalkalden-Meiningen
16067,Gotha,Thüringen,134563,66977,67586,Landkreis Gotha
16068,Sömmerda,Thüringen,69107,34504,34603,Landkreis Sömmerda
16069,Hildburghausen,Thüringen,62656,31343,31313,Landkreis Hildburghausen
16070,Ilm-Kreis,Thüringen,105606,52985,52621,Ilm-Kreis
16071,Weimarer Land,Thüringen,82291,40740,41551,Landkreis Weimarer Land
16072,Sonneberg,Thüringen,57044,28071,28973,Landkreis Sonneberg
16073,Saalfeld-Rudolstadt,Thüringen,102139,50306,51833,Landkreis Saalfeld-Rudolstadt
16074,Saale-Holzland-Kreis,Thüringen,82816,41139,41677,Saale-Holzland-Kreis
16075,Saale-Orla-Kreis,Thüringen,79632,39579,40053,Saale-Orla-Kreis
16076,Greiz,Thüringen,96668,47659,49009,Landkreis Greiz
16077,Altenburger Land,Thüringen,88356,43215,45141,Landkreis Altenburger Land
