lk_id,lk,bundesland,population,population_male,population_female,lk_movement
5314,Stadt Bonn,Nordrhein-Westfalen,330579,158190,172389,Bonn
5315,Stadt Köln,Nordrhein-Westfalen,1083498,528075,555423,Köln
5316,Stadt Leverkusen,Nordrhein-Westfalen,163905,79839,84066,Leverkusen
5334,Städteregion Aachen,Nordrhein-Westfalen,556631,281103,275528,Städteregion Aachen
5358,Düren,Nordrhein-Westfalen,265140,131459,133681,Kreis Düren
5362,Rhein-Erft-Kreis,Nordrhein-Westfalen,469611,228942,240669,Rhein-Erft-Kreis
5366,Euskirchen,Nordrhein-Westfalen,194359,95938,98421,Kreis Euskirchen
5370,Heinsberg,Nordrhein-Westfalen,256458,126923,129535,Kreis Heinsberg
5374,Oberbergischer Kreis,Nordrhein-Westfalen,271699,133601,138098,Oberbergischer Kreis
5378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,283275,137257,146018,Rheinisch-Bergischer Kreis
5382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,600375,294058,306317,Rhein-Sieg-Kreis
5512,Stadt Bottrop,Nordrhein-Westfalen,117388,57122,60266,Bottrop
5513,Stadt Gelsenkirchen,Nordrhein-Westfalen,259105,128800,130305,Gelsenkirchen
5515,Stadt Münster,Nordrhein-Westfalen,316403,152025,164378,Münster
5554,Borken,Nordrhein-Westfalen,371898,185800,186098,Kreis Borken
5558,Coesfeld,Nordrhein-Westfalen,220712,108863,111849,Kreis Coesfeld
5562,Recklinghausen,Nordrhein-Westfalen,613599,299053,314546,Kreis Recklinghausen
5566,Steinfurt,Nordrhein-Westfalen,448197,222884,225313,Kreis Steinfurt
5570,Warendorf,Nordrhein-Westfalen,277417,136924,140493,Kreis Warendorf
5711,Stadt Bielefeld,Nordrhein-Westfalen,333509,160802,172707,Bielefeld
5754,Gütersloh,Nordrhein-Westfalen,364818,181947,182871,Kreis Gütersloh
5758,Herford,Nordrhein-Westfalen,250547,123181,127366,Kreis Herford
5762,Höxter,Nordrhein-Westfalen,139729,69556,70173,Kreis Höxter
5766,Lippe,Nordrhein-Westfalen,346970,170224,176746,Kreis Lippe
5770,Minden-Lübbecke,Nordrhein-Westfalen,310270,153264,157006,Kreis Minden-Lübbecke
5774,Paderborn,Nordrhein-Westfalen,308335,154388,153947,Kreis Paderborn
5911,Stadt Bochum,Nordrhein-Westfalen,364454,177829,186625,Bochum
5913,Stadt Dortmund,Nordrhein-Westfalen,587696,289096,298600,Dortmund
5914,Stadt der FernUniversität Hagen,Nordrhein-Westfalen,188687,92235,96452,Hagen
5915,Stadt Hamm,Nordrhein-Westfalen,178967,88085,90882,Hamm
5916,Stadt Herne,Nordrhein-Westfalen,156940,77058,79882,Herne
5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,323130,156848,166282,Ennepe-Ruhr-Kreis
5958,Hochsauerlandkreis,Nordrhein-Westfalen,259030,129379,129651,Hochsauerlandkreis
5962,Märkischer Kreis,Nordrhein-Westfalen,408662,201181,207481,Märkischer Kreis
5966,Olpe,Nordrhein-Westfalen,133362,66810,66552,Kreis Olpe
5970,Siegen-Wittgenstein,Nordrhein-Westfalen,275491,136747,138744,Kreis Siegen-Wittgenstein
5974,Soest,Nordrhein-Westfalen,301016,149419,151597,Kreis Soest
5978,Unna,Nordrhein-Westfalen,393618,191749,201869,Kreis Unna
6411,Wissenschaftsstadt Darmstadt,Hessen,159174,81048,78126,Darmstadt
6412,Stadt Frankfurt am Main,Hessen,764104,377199,386905,Frankfurt am Main
6413,Stadt Offenbach am Main,Hessen,130892,65063,65829,Offenbach am Main
6414,Landeshauptstadt Wiesbaden,Hessen,278609,133265,145344,Wiesbaden
6431,Bergstraße,Hessen,271015,134047,136968,Kreis Bergstraße
6432,Darmstadt-Dieburg,Hessen,297701,147765,149936,Landkreis Darmstadt-Dieburg
6433,Groß-Gerau,Hessen,275807,138154,137653,Kreis Groß-Gerau
6434,Hochtaunuskreis,Hessen,237281,115161,122120,Hochtaunuskreis
