time,R_eff_country
0,0.8621463382184303
1,0.8621350464462825
2,0.862123821812587
3,0.8621126635694151
4,0.8621015709803411
5,0.8620905433202173
6,0.8620795798748809
7,0.8620686799410399
8,0.8620578428259102
9,0.8620470678471354
10,0.8620363543325423
11,0.8620257016198549
12,0.8620151090566801
13,0.862004576000151
14,0.8619941018167712
15,0.8619836858823507
16,0.861973327581641
17,0.8619630263083651
18,0.8619527814648579
19,0.8619425924620656
20,0.8619324587192847
21,0.8619223796640009
22,0.8619123547318565
23,0.861902383366341
24,0.8618924650187293
25,0.861882599147972
26,0.8618727852205221
27,0.8618630227101531
28,0.8618533110978386
29,0.8618436498717618
30,0.8618340385270233
31,0.8618244765655463
32,0.8618149634959855
33,0.8618054988336872
34,0.8617960821004388
35,0.8617867128244185
36,0.8617773905400831
37,0.8617681147880492
38,0.8617588851150426
39,0.8617497010736933
40,0.8617405622224896
41,0.8617314681257556
42,0.8617224183534181
43,0.8617134124809215
44,0.8617044500893567
45,0.8616955307650092
46,0.8616866540996032
47,0.861677819689986
48,0.8616690271381923
49,0.8616602760512669
50,0.8616515660412079
51,0.8616428967249412
52,0.8616342677241442
53,0.8616256786652564
54,0.861617129179346
55,0.8616086189020623
56,0.861600147473596
57,0.861591714538538
58,0.8615833197458207
59,0.8615749627487364
60,0.8615666432047594
61,0.8615583607755338
62,0.8615501151268394
63,0.861541905928476
64,0.8615337328541895
65,0.8615255955817048
66,0.8615174937925252
67,0.8615094271720063
68,0.8615013954092415
69,0.8614933981969823
70,0.8614854352316573
71,0.8614775062132408
72,0.8614696108451753
73,0.861461748834463
74,0.8614539198915243
75,0.8614461237300733
76,0.8614383600671878
77,0.8614306286231965
78,0.8614229291217269
79,0.8614152612895004
80,0.8614076248563655
81,0.8614000195553446
82,0.861392445122388
83,0.8613849012965341
84,0.8613773878197697
85,0.8613699044369139
86,0.8613624508957423
87,0.8613550269468481
88,0.8613476323435705
89,0.8613402668420752
90,0.8613329302011892
91,0.8613256221823947
92,0.8613183425499047
93,0.861311091070445
94,0.8613038675133526
95,0.8612966716504725
96,0.8612895032561836
97,0.8612823621072654
98,0.8612752479830064
99,0.8612681606650587
100,0.8612610999373874
101,0.861254065586365
102,0.8612470574006177
103,0.8612400751710522
104,0.8612331186908336
105,0.8612261877552861
106,0.8612192821620221
107,0.8612124017106679
108,0.8612055462030438
109,0.8611987154430681
110,0.8611919092366794
111,0.8611851273919822
112,0.8611783697188857
113,0.8611716360294891
114,0.8611649261377019
115,0.8611582398594894
116,0.8611515770126423
117,0.8611449374168545
118,0.8611383208937297
119,0.8611317272666354
120,0.8611251563607827
121,0.8611186080032026
122,0.8611120820226974
123,0.8611055782497018
124,0.8610990965165701
125,0.8610926366571664
126,0.8610861985071323
127,0.861079781903789
128,0.8610733866860213
129,0.861067012694383
130,0.8610606597710027
131,0.8610543277596353
132,0.861048016505492
133,0.8610417258554789
134,0.8610354556578204
135,0.8610292057624224
136,0.8610229760205675
137,0.8610167662850705
138,0.8610105764101168
139,0.8610044062514106
140,0.8609982556659785
141,0.8609921245122988
142,0.8609860126502282
143,0.8609799199409401
144,0.8609738462469909
145,0.8609677914322678
146,0.8609617553619204
147,0.860955737902494
148,0.8609497389217037
149,0.8609437582885915
150,0.8609377958734591
151,0.8609318515478112
152,0.8609259251843558
153,0.8609200166571016
154,0.8609141258411452
155,0.8609082526128363
156,0.8609023968496571
157,0.8608965584302312
158,0.8608907372343358
159,0.8608849331428691
160,0.8608791460378521
161,0.8608733758024465
162,0.8608676223207451
163,0.8608618854781191
164,0.8608561651608537
165,0.8608504612563536
166,0.8608447736530721
167,0.8608391022403808
168,0.8608334469087939
169,0.8608278075497912
170,0.860822184055841
171,0.8608165763203152
172,0.8608109842376981
173,0.860805407703314
174,0.8607998466134978
175,0.8607943008654971
176,0.8607887703574763
177,0.8607832549885487
178,0.8607777546587175
179,0.8607722692688625
180,0.8607667987207985
181,0.8607613429171624
182,0.8607559017615004
183,0.8607504751581732
184,0.8607450630124315
185,0.8607396652303667
186,0.8607342817188556
187,0.8607289123856289
188,0.8607235571392172
189,0.860718215888975
190,0.860712888545016
191,0.860707575018309
192,0.860702275220467
193,0.8606969890640155
194,0.8606917164621806
195,0.8606864573289248
196,0.860681211578984
197,0.8606759791277997
198,0.8606707598915856
199,0.8606655537872595
200,0.8606603607324006
201,0.8606551806454023
202,0.8606500134452671
203,0.860644859051728
204,0.8606397173851603
205,0.860634588366686
206,0.8606294719180544
207,0.8606243679616882
208,0.8606192764206632
209,0.860614197218658
210,0.8606091302801209
211,0.8606040755300041
212,0.8605990328939406
213,0.8605940022982096
214,0.8605889836696878
215,0.8605839769358345
216,0.86057898202475
217,0.860573998865172
218,0.8605690273863217
219,0.8605640675180695
220,0.8605591191909043
221,0.8605541823358186
